datetime,value
2022-01-31T18:10:34.266Z,0.61
2022-01-31T18:34:16.053Z,0.59
2022-01-31T18:44:59.536Z,0.59
2022-01-31T19:02:49.528Z,0.58
2022-01-31T19:07:57.070Z,0.56
2022-01-31T19:39:28.390Z,0.48
2022-01-31T19:41:34.624Z,0.39
2022-01-31T19:42:15.397Z,0.38
2022-01-31T20:02:47.163Z,0.32
2022-01-31T20:25:47.942Z,0.26
2022-01-31T20:42:05.843Z,0.24
2022-01-31T21:02:36.638Z,0.19
2022-01-31T21:23:55.798Z,0.14
2022-01-31T21:42:09.888Z,0.12
2022-01-31T22:02:55.272Z,0.13
2022-01-31T22:24:57.373Z,0.12
2022-01-31T22:42:05.116Z,0.12
2022-01-31T23:03:04.150Z,0.12
2022-01-31T23:25:11.533Z,0
2022-01-31T23:42:05.992Z,0
2022-02-01T07:02:52.361Z,0
2022-02-01T07:24:25.171Z,0
2022-02-01T07:42:03.622Z,0
2022-02-01T08:03:01.716Z,0.01
2022-02-01T08:27:29.636Z,0
2022-02-01T08:43:51.794Z,0.01
2022-02-01T09:03:04.278Z,0.03
2022-02-01T09:25:33.189Z,0.11
2022-02-01T09:42:08.596Z,0.13
2022-02-01T10:03:01.175Z,0.15
2022-02-01T10:26:33.406Z,0.22
2022-02-01T10:42:36.762Z,0.22
2022-02-01T11:02:44.130Z,0.19
2022-02-01T11:24:29.755Z,0.15
2022-02-01T11:42:10.491Z,0.15
2022-02-01T12:03:21.690Z,0.18
2022-02-01T12:29:41.889Z,0.23
2022-02-01T12:48:51.003Z,0.26
2022-02-01T13:05:23.502Z,0.26
2022-02-01T13:26:11.099Z,0.22
2022-02-01T13:42:10.044Z,0.31
2022-02-01T14:02:50.902Z,0.3
2022-02-01T14:24:11.950Z,0.31
2022-02-01T14:42:10.782Z,0.32
2022-02-01T15:03:05.256Z,0.32
2022-02-01T15:26:20.254Z,0.34
2022-02-01T15:43:50.134Z,0.29
2022-02-01T16:02:54.682Z,0.3
2022-02-01T16:29:40.243Z,0.38
2022-02-01T16:50:33.997Z,0.45
2022-02-01T17:05:13.832Z,0.46
2022-02-01T17:26:48.603Z,0.5
2022-02-01T17:42:35.060Z,0.55
2022-02-01T18:03:13.317Z,0.62
2022-02-01T18:27:28.948Z,0.68
2022-02-01T18:44:26.329Z,0.64
2022-02-01T19:02:57.167Z,0.6
2022-02-01T19:23:03.364Z,0.56
2022-02-01T19:42:22.603Z,0.51
2022-02-01T20:02:55.010Z,0.44
2022-02-01T20:25:37.505Z,0.37
2022-02-01T20:42:08.118Z,0.32
2022-02-01T21:02:48.196Z,0.26
2022-02-01T21:24:45.771Z,0.17
2022-02-01T21:42:08.855Z,0.17
2022-02-01T22:03:04.479Z,0.17
2022-02-01T22:25:17.395Z,0.16
2022-02-01T22:42:08.387Z,0.16
2022-02-01T23:03:05.895Z,0.16
2022-02-01T23:25:16.849Z,0
2022-02-01T23:42:06.765Z,0
